Kabupaten/Kota,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 15-24,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 25-34,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 35-44,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 45-54,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 55-64,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 65+
Bogor,18.89,27.4,24.49,16.29,9.08,3.84
Sukabumi,14.35,22.75,22.89,20.99,12.16,6.87
Cianjur,18.1,20.36,22.04,19.24,11.75,8.52
Bandung,18.09,24.11,23.83,17.58,11.07,5.32
Garut,15.22,23.02,21.33,20.03,12.3,8.09
Tasikmalaya,11.98,17.7,22.65,22.09,15.76,9.81
Ciamis,9.67,16.87,18.96,24.35,18.71,11.45
Kuningan,10.63,22.51,22.57,19.46,16.46,8.37
Cirebon,18.73,21.91,24.62,16.18,12.66,5.9
Majalengka,12.53,21.35,22.03,19.12,14.83,10.14
Sumedang,13.48,18.51,21.63,20.02,15.78,50.58
Indramayu,14.78,19.45,22.76,21.66,12.88,8.47
Subang,11.77,18.98,22.37,22.62,14.78,9.48
Purwakarta,15.56,24.53,23.83,16.95,11.45,7.68
Karawang,15.3,25.65,22.79,18.47,11.55,6.23
Bekasi,16.02,29.69,27.74,15.31,8.6,2.64
Bandung Barat,14.37,21.51,24.27,19.61,12.02,8.24
Pangandaran,11.3,14.31,21.83,21.9,16.28,14.38
Kota Bogor,17.47,24.49,24.01,19.33,11.29,3.41
Kota Sukabumi,15.53,23.53,20.96,18.75,14.42,6.81
Kota Bandung,17.48,25.95,23.88,18.35,10.6,3.74
Kota Cirebon,13.87,23.66,23.67,22.04,13.45,3.32
Kota Bekasi,14.97,27.61,24.75,20.42,9.64,2.62
Kota Depok,16.7,27.24,26.44,18.8,7.85,2.97
Kota Cimahi,16.42,26.82,25.88,17.93,9.44,4.32
Kota Tasikmalaya,16.02,20.53,23.51,22.19,11.48,6.27
Kota Banjar,11.76,18.6,21.13,21.98,17.14,9.38
Jawa Barat,15.74,23.66,23.6,18.97,11.76,6.38
,,,,,,
Catatan,,,,,,
subjeckmeter tdk bisa mengeluarkan angkanya sampai level kab/kota,,,,,,
