Kabupaten/Kota,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 15-24,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 25-34,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 35-44,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 45-54,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 55-64,Persentase Penduduk Usia 15 Tahun Ke Atas yang Merokok dalam Sebulan Terakhir Menurut Kelompok Umur - 65+
Bogor,14.1,26.33,23.49,20.16,10.53,5.39
Sukabumi,15.56,23.07,22.03,18.37,12.76,8.21
Cianjur,15.57,23.06,20.94,19.14,13.02,8.27
Bandung,15.26,23.96,25.02,19.28,10.96,5.52
Garut,18.76,25.22,21.31,18.18,9.86,6.67
Tasikmalaya,11.93,22.46,21.09,19.61,15.63,9.28
Ciamis,14.21,19.24,19.67,18.87,16.47,11.55
Kuningan,12.69,22.41,23.33,18.47,12.66,10.44
Cirebon,14.13,25.34,25.44,18.5,10.94,5.64
Majalengka,12.59,23.6,23.49,20.7,11.43,8.2
Sumedang,13.24,22.56,20.73,18.02,14.95,10.5
Indramayu,12.72,25.44,24.26,19.77,11.44,6.38
Subang,14,21.56,21.45,20.58,13.8,8.61
Purwakarta,16.12,26.75,21.94,17.58,11.65,5.96
Karawang,13,25.23,25.38,17.22,12.61,6.56
Bekasi,10.13,27.5,28.68,19.31,10.33,4.05
Bandung Barat,17.32,22.8,23.16,17.8,11.99,6.94
Pangandaran,12.44,19.86,19.21,18.63,17.52,12.35
Kota Bogor,13.22,25.18,27.12,20.83,9.09,4.57
Kota Sukabumi,15.67,24.79,21.9,20.2,12.77,4.67
Kota Bandung,13.03,22.24,26.9,21.64,11.36,4.83
Kota Cirebon,11.58,26.44,24.95,20.8,10.58,5.66
Kota Bekasi,11.56,24.04,27.08,22.89,9.94,4.49
Kota Depok,12.51,24.67,27.12,20.8,11.52,3.39
Kota Cimahi,12.59,23.59,26.58,20.1,11.57,5.57
Kota Tasikmalaya,14.46,24.09,24.23,18.27,12.8,6.15
Kota Banjar,11.17,23.32,21.29,17.95,18.07,8.19
Jawa Barat,13.99,24.23,23.91,19.43,11.86,6.58
